Unnamed: 0,ROI,Yeo_Network,Yeo_Index,hist_g2_value,FC_pos_coefs,FC_neg_coefs,FCgsr_pos_coefs,FCgsr_neg_coefs
0.0,Precentral_L,SomMot,2.0,-0.252527,0.0027030299339268,-0.0226370841146002,0.0107814108813132,-0.0110798459690837
1.0,Precentral_R,SomMot,2.0,-0.27582,0.0027929865993792,-0.0282234475484976,0.0108951262229641,-0.0138599262357327
2.0,Frontal_Sup_L,Default,7.0,0.0262288,0.0011589075728965,-0.0273413610484787,0.006719947334278,-0.0071653495683617
3.0,Frontal_Sup_R,Default,7.0,0.0356533,0.0016015686254787,-0.0232177668797529,0.0066329264080316,-0.0098165122491095
4.0,Frontal_Sup_Orb_L,Limbic,5.0,0.241026,0.0023356578928455,-0.0180776437135026,0.0057655154158944,-0.0114889247743772
5.0,Frontal_Sup_Orb_R,Limbic,5.0,0.26085,0.0024357662300399,-0.0170965172496302,0.0059777720968918,-0.0103932260212255
6.0,Frontal_Mid_L,Control,6.0,-0.0243528,0.0040227452783545,-0.0141989535809995,0.0112057470819242,-0.00830070394201
7.0,Frontal_Mid_R,Control,6.0,-0.0532717,0.0058126683269658,-0.0124532271032984,0.0129359817937555,-0.0113671942996334
8.0,Frontal_Mid_Orb_L,Control,6.0,0.131386,0.002734465939433,-0.0166332210745854,0.0062352927271327,-0.0079807628630907
9.0,Frontal_Mid_Orb_R,Control,6.0,0.124655,0.003736965033549,-0.0142599216429034,0.0073402938950954,-0.0091264993786413
10.0,Frontal_Inf_Oper_L,SalVentAttn,4.0,-0.102025,0.0115424117323089,-0.0068977166819701,0.0112561606522992,-0.007948015141321
11.0,Frontal_Inf_Oper_R,SalVentAttn,4.0,-0.0712346,0.0162381398246677,-0.0060369792326762,0.0121074542377221,-0.0089414380456008
12.0,Frontal_Inf_Tri_L,Control,6.0,-0.0105038,0.0047990978542718,-0.0114277805292428,0.0082992036631859,-0.0093261590199066
13.0,Frontal_Inf_Tri_R,Control,6.0,0.00813057,0.0151184560898219,-0.0089109969787416,0.0105777622067458,-0.0108990146408114
14.0,Frontal_Inf_Orb_L,Default,7.0,-0.00752688,0.0029891579690218,-0.0263820847220077,0.0114636074302624,-0.0148205634978298
15.0,Frontal_Inf_Orb_R,Default,7.0,0.0526184,0.0038126119385956,-0.0223464792550664,0.0098929945836058,-0.0160823920534399
16.0,Rolandic_Oper_L,SomMot,2.0,-0.0699597,0.0109266509314322,-0.0095303990304954,0.0142806112103248,-0.0106880102269371
17.0,Rolandic_Oper_R,SomMot,2.0,-0.0229536,0.007144318430218,-0.0147576585808321,0.0150803943061485,-0.0121883475920616
18.0,Supp_Motor_Area_L,SomMot,2.0,-0.204303,0.0024549766718417,-0.0142849136048558,0.0118950578037339,-0.0065688510666705
19.0,Supp_Motor_Area_R,SomMot,2.0,-0.25124,0.0045863774874425,-0.0129797945837303,0.0139896717157293,-0.0081995537354553
20.0,Olfactory_L,Subcortex,8.0,0.272807,0.0018128984759085,-0.0288001727627287,0.0101767661264282,-0.0118287737567361
21.0,Olfactory_R,Subcortex,8.0,0.348359,0.0021181932681737,-0.0235859781215394,0.0097635540154146,-0.0130108866737193
22.0,Frontal_Sup_Medial_L,Default,7.0,0.134695,0.0030337944908449,-0.0199815823201337,0.0096692861533594,-0.0101436982493116
23.0,Frontal_Sup_Medial_R,Default,7.0,0.101903,0.0028909375546826,-0.0196846474278064,0.0070054889775686,-0.0093275678227003
24.0,Frontal_Med_Orb_L,Default,7.0,0.266983,0.0040424820691713,-0.0163669513906752,0.0070735363810311,-0.0101521619635359
25.0,Frontal_Med_Orb_R,Default,7.0,0.255624,0.0026053110252389,-0.0171746760525074,0.0059528208270352,-0.0085030081417916
26.0,Rectus_L,Limbic,5.0,0.357943,0.0031647989010228,-0.0164563735913037,0.0082182373176443,-0.0091726680009882
27.0,Rectus_R,Limbic,5.0,0.386244,0.0019977508112288,-0.0198234703334553,0.008161383716417,-0.0097353619302192
28.0,Insula_L,SalVentAttn,4.0,0.055607,0.0121696187658338,-0.0116269951251079,0.0160702700417577,-0.0126157323516059
29.0,Insula_R,SalVentAttn,4.0,0.0713641,0.0140300062947935,-0.010169859861923,0.0160612822994916,-0.0127281687288762
30.0,Cingulum_Ant_L,Default,7.0,0.121803,0.0083902099472729,-0.0141493492665512,0.0108452166555623,-0.0123406797232675
31.0,Cingulum_Ant_R,Default,7.0,0.191628,0.0073152853150375,-0.0142544173171266,0.0101524521032524,-0.0122177157572921
32.0,Cingulum_Mid_L,Default,7.0,0.00923368,0.0051041893454085,-0.0203397747164713,0.0070259128035945,-0.0112600781745689
33.0,Cingulum_Mid_R,SalVentAttn,4.0,-0.0438553,0.0046304034363062,-0.0191504853881455,0.0056767991215705,-0.0123198574186006
34.0,Cingulum_Post_L,Default,7.0,-0.0683547,0.0050083512978458,-0.0234448195385382,0.0088699197746563,-0.0134578011816544
35.0,Cingulum_Post_R,Default,7.0,-0.080374,0.0051878668245476,-0.0240564560670314,0.0079366108418382,-0.013898680907472
36.0,Hippocampus_L,Subcortex,8.0,0.264563,0.0014501420079746,-0.0260223076903263,0.0052869685183456,-0.0103031433875102
37.0,Hippocampus_R,Subcortex,8.0,0.228782,0.0029109648493277,-0.0219110392603665,0.0060352789827973,-0.0094574439212475
38.0,ParaHippocampal_L,Limbic,5.0,0.309207,0.0018602762183587,-0.0215482976000822,0.0054314369266376,-0.0101985922151691
39.0,ParaHippocampal_R,Limbic,5.0,0.394873,0.0026142559379515,-0.0214451219722006,0.0053651446421437,-0.0113957753228579
