Unnamed: 0,ROI,Yeo_Network,Yeo_Index,hist_g2_value,FC_pos_coefs,FC_neg_coefs,FCgsr_pos_coefs,FCgsr_neg_coefs
0.0,Precentral_L,SomMot,2.0,-0.252527,0.0103367319277077,-0.021308705569884,0.0181824607982731,-0.0137206112522696
1.0,Precentral_R,SomMot,2.0,-0.27582,0.0108426338068849,-0.0184277021444683,0.0190270854927852,-0.0120953138527486
2.0,Frontal_Sup_L,Default,7.0,0.0262288,0.0038296786067513,-0.0405691783385849,0.0095903076282571,-0.0155149926419814
3.0,Frontal_Sup_R,Default,7.0,0.0356533,0.0046205263869593,-0.042133915824972,0.0081811596756706,-0.0165106973589014
4.0,Frontal_Sup_Orb_L,Limbic,5.0,0.241026,0.0087655462560004,-0.019524739397449,0.0071559250532989,-0.0113198934817832
5.0,Frontal_Sup_Orb_R,Limbic,5.0,0.26085,0.0076746444952422,-0.0197343872093201,0.0070329944963033,-0.0161776374150941
6.0,Frontal_Mid_L,Control,6.0,-0.0243528,0.0063265868251604,-0.0274962845658054,0.0092677772941736,-0.0148234134486511
7.0,Frontal_Mid_R,Control,6.0,-0.0532717,0.0078873265109067,-0.0234489182434615,0.0103043286769131,-0.0182732396406341
8.0,Frontal_Mid_Orb_L,Control,6.0,0.131386,0.0066063932278192,-0.0223567217252908,0.0066549029625778,-0.0138194763179961
9.0,Frontal_Mid_Orb_R,Control,6.0,0.124655,0.0056167347058673,-0.0216031128754471,0.0055287917328923,-0.0176023820247365
10.0,Frontal_Inf_Oper_L,SalVentAttn,4.0,-0.102025,0.0206504737598293,-0.0090304284047574,0.0156677289552612,-0.0124757083198383
11.0,Frontal_Inf_Oper_R,SalVentAttn,4.0,-0.0712346,0.0314369971546484,-0.0091296293180991,0.0164364799534304,-0.0137214092611679
12.0,Frontal_Inf_Tri_L,Control,6.0,-0.0105038,0.0080258343284459,-0.0169580854846322,0.0087688469585643,-0.0117370223890761
13.0,Frontal_Inf_Tri_R,Control,6.0,0.00813057,0.0185461403591588,-0.0102736069456793,0.0114462054650277,-0.012920957189551
14.0,Frontal_Inf_Orb_L,Default,7.0,-0.00752688,0.0070675507592932,-0.0303950884930225,0.009081753294286,-0.0194107694001823
15.0,Frontal_Inf_Orb_R,Default,7.0,0.0526184,0.0076837680036874,-0.0241532795268324,0.0073941390556724,-0.0195393758380469
16.0,Rolandic_Oper_L,SomMot,2.0,-0.0699597,0.0266821390864188,-0.0122972751466945,0.022861090616156,-0.0151667321103605
17.0,Rolandic_Oper_R,SomMot,2.0,-0.0229536,0.0218301324496475,-0.0145982253887836,0.0227827088233679,-0.0149860273083937
18.0,Supp_Motor_Area_L,SomMot,2.0,-0.204303,0.0105932585732868,-0.0200931899300142,0.0195938375706686,-0.0127704231011802
19.0,Supp_Motor_Area_R,SomMot,2.0,-0.25124,0.0157991820826543,-0.013981073531225,0.023219070212175,-0.0114079707414566
20.0,Olfactory_L,Subcortex,8.0,0.272807,0.0057036740056891,-0.0232625923493139,0.0140839666455889,-0.0120210079397468
21.0,Olfactory_R,Subcortex,8.0,0.348359,0.0059419499871069,-0.0242808808228416,0.0099547255090815,-0.009898166303414
22.0,Frontal_Sup_Medial_L,Default,7.0,0.134695,0.0041096071754074,-0.0330088659999693,0.0069916184015888,-0.0121167904506146
23.0,Frontal_Sup_Medial_R,Default,7.0,0.101903,0.0055959117796621,-0.034959714253459,0.0086914441517791,-0.0186155412100461
24.0,Frontal_Med_Orb_L,Default,7.0,0.266983,0.008578381216195,-0.0209443066921171,0.0122371638181673,-0.0122558914026308
25.0,Frontal_Med_Orb_R,Default,7.0,0.255624,0.0078592804519596,-0.0221110139129175,0.0106821293935007,-0.0100288310028142
26.0,Rectus_L,Limbic,5.0,0.357943,0.0062815247872375,-0.0185772060219393,0.0093014981254116,-0.0099378757632101
27.0,Rectus_R,Limbic,5.0,0.386244,0.0058136600177059,-0.0184025494146235,0.0092058282926023,-0.0120709763685213
28.0,Insula_L,SalVentAttn,4.0,0.055607,0.0192479181115339,-0.0121766645556467,0.0167930331282684,-0.0142449361618724
29.0,Insula_R,SalVentAttn,4.0,0.0713641,0.0265678107526496,-0.0095749854745517,0.0182968046800181,-0.0125803509780728
30.0,Cingulum_Ant_L,Default,7.0,0.121803,0.0115207103559516,-0.0268731315378747,0.0155114064116029,-0.01911946807246
31.0,Cingulum_Ant_R,Default,7.0,0.191628,0.0105143165172632,-0.0250267550352957,0.0145013079570558,-0.0169840593519031
32.0,Cingulum_Mid_L,Default,7.0,0.00923368,0.0070525952504635,-0.0333592667714906,0.0107562776970406,-0.0094113379799497
33.0,Cingulum_Mid_R,SalVentAttn,4.0,-0.0438553,0.0060406499049506,-0.0328502776305047,0.0099554361916574,-0.0103409811817338
34.0,Cingulum_Post_L,Default,7.0,-0.0683547,0.0069054526236714,-0.0331268696526596,0.0129776965180722,-0.0133201110565589
35.0,Cingulum_Post_R,Default,7.0,-0.080374,0.0064945742008508,-0.033867302523937,0.011961023380229,-0.0127700173315501
36.0,Hippocampus_L,Subcortex,8.0,0.264563,0.0093467881299712,-0.0359387098062161,0.01467667613636,-0.013575550665518
37.0,Hippocampus_R,Subcortex,8.0,0.228782,0.0095773372910819,-0.0296139259192506,0.0126374506285328,-0.0134393002405827
38.0,ParaHippocampal_L,Limbic,5.0,0.309207,0.0106041132761089,-0.0293144367270726,0.0144778852055684,-0.0152457520521388
39.0,ParaHippocampal_R,Limbic,5.0,0.394873,0.0091178633007262,-0.0238064971957162,0.0117816093319689,-0.0142605056434259
