group,F,M,African-American/Black,Asian,Caucasian/White,Other,A,B,C,D,E,MR750,Prisma_Fit,TrioTim,control,moderate,"('age_at_visit0', 'mean')","('age_at_visit0', 'median')","('age_at_visit0', 'std')","('age_at_event', 'mean')","('age_at_event', 'median')","('age_at_event', 'std')","('num_visits', 'mean')","('num_visits', 'median')","('num_visits', 'std')"
0,164,116,47,23,194,16,46,42,61,61,70,173.0,0.0,107.0,263,17,15.91,15.46,2.56,31.98,23.72,15.01,6.47,8.0,2.42
1,174,199,30,28,295,20,36,84,75,73,105,264.0,3.0,106.0,294,79,16.3,16.39,2.25,23.33,19.96,15.85,7.42,8.0,1.5
